STATION_ID,STATION_TYPE,YEAR,AVG_STATION_DEPTH_m
RT14085,TidalCreek,2014,2.40
RT14087,TidalCreek,2014,4.30
RT14088,TidalCreek,2014,2.00
RT15091,TidalCreek,2015,1.50
RT15092,TidalCreek,2015,1.50
RT15093,TidalCreek,2015,1.35
RT15095,TidalCreek,2015,3.20
RT15097,TidalCreek,2015,2.50
RT15099,TidalCreek,2015,4.60
RT15101,TidalCreek,2015,3.97
RT15102,TidalCreek,2015,7.50
RT15103,TidalCreek,2015,2.40
RT15104,TidalCreek,2015,2.10
RT15105,TidalCreek,2015,1.04
RT15106,TidalCreek,2015,2.00
RT15110,TidalCreek,2015,3.48
RT15112,TidalCreek,2015,2.85
RT16114,TidalCreek,2016,2.55
RT16116,TidalCreek,2016,4.13
RT16121,TidalCreek,2016,3.35
RT16123,TidalCreek,2016,2.10
RT16125,TidalCreek,2016,2.10
RT16127,TidalCreek,2016,1.50
RT16129,TidalCreek,2016,1.65
RT16130,TidalCreek,2016,3.16
RT16131,TidalCreek,2016,1.24
RT16132,TidalCreek,2016,3.52
RT16134,TidalCreek,2016,7.50
RT16135,TidalCreek,2016,2.79
RT16137,TidalCreek,2016,2.33
RT16138,TidalCreek,2016,5.50
RT16139,TidalCreek,2016,5.90
RT17142,TidalCreek,2017,4.83
RT17143,TidalCreek,2017,2.46
RT17144,TidalCreek,2017,3.80
RT17146,TidalCreek,2017,1.60
RT17148,TidalCreek,2017,1.70
RT17149,TidalCreek,2017,1.83
RT17150,TidalCreek,2017,1.45
RT17152,TidalCreek,2017,3.35
RT17153,TidalCreek,2017,3.73
RT17155,TidalCreek,2017,6.28
RT17156,TidalCreek,2017,3.50
RT17160,TidalCreek,2017,1.30
RT17162,TidalCreek,2017,5.35
RT18164,TidalCreek,2018,3.23
RT18169,TidalCreek,2018,1.30
RT18171,TidalCreek,2018,3.10
RT18175,TidalCreek,2018,1.50
RT18178,TidalCreek,2018,3.70
RT18179,TidalCreek,2018,2.77
RT18180,TidalCreek,2018,5.40
RT18181,TidalCreek,2018,4.27
RT18183,TidalCreek,2018,1.80
RT18186,TidalCreek,2018,3.40
RT18188,TidalCreek,2018,4.73
RT18190,TidalCreek,2018,2.22
