SP_CODE,SpCodeTaxon,Accepted,CorrectedTaxonName,Level,Phylum,Class,Order,Family,Genus,Species,OrganismCategory,OrgCat2,OrgCatAbbrev,OrgCat3,PloverPrey,PreyCat,Common Name,Comments
A463,Lepomis macrochirus,yes,Lepomis macrochirus,Species,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,fish-bony,fish,O,fish,No,,bluegill,
A465,Aluterus sp.,yes,Aluterus sp.,Genus,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,na,fish-bony,fish,O,fish,No,,,
A466,Anchoa sp.,yes,Anchoa sp.,Genus,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,na,fish-bony,fish,O,fish,No,,,
A468,Antennariidae,yes,Antennariidae,Family,Chordata,Actinopterygii,Lophiiformes,Antennariidae,na,na,fish-bony,fish,O,fish,No,,,
A474,Blenniidae,yes,Blenniidae,Family,Chordata,Actinopterygii,Perciformes,Blenniidae,na,na,fish-bony,fish,O,fish,No,,,
A475,Bothidae,yes,Bothidae,Family,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,na,na,fish-bony,fish,O,fish,No,,,
A481,Caranx sp.,yes,Caranx sp.,Genus,Chordata,Actinopterygii,Perciformes,Carangidae,Caranx,na,fish-bony,fish,O,fish,No,,,
A493,Gerreidae,yes,Gerreidae,Family,Chordata,Actinopterygii,Perciformes,Gerreidae,na,na,fish-bony,fish,O,fish,No,,,
A498,Hippocampus sp.,yes,Hippocampus sp.,Genus,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,na,fish-bony,fish,O,fish,No,,,
A507,Monacanthus sp.,yes,Monacanthus sp.,Genus,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Monacanthus,na,fish-bony,fish,O,fish,No,,,
A508,Mugil sp.,yes,Mugil sp.,Genus,Chordata,Actinopterygii,Perciformes,Mugilidae,Mugil,na,fish-bony,fish,O,fish,No,,,
A557,Ogcocephalus corniger,yes,Ogcocephalus corniger,Genus,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,Ogcocephalus,corniger,fish-bony,fish,O,fish,No,,longnose batfish,
A564,Prionotus sp.,yes,Prionotus sp.,Genus,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus,na,fish-bony,fish,O,fish,No,,,
A707,Brevoortia sp.,yes,Brevoortia sp.,Genus,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,na,fish-bony,fish,O,fish,No,,,
A708,Dorosoma sp.,yes,Dorosoma sp.,Genus,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma ,na,fish-bony,fish,O,fish,No,,,
A800,Fundulus confluentus,yes,Fundulus confluentus,Species,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,confluentus,fish-bony,fish,O,fish,No,,marsh killifish,
A801R,Fundulus grandis,yes,Fundulus grandis,Species,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,grandis,fish-bony,fish,O,fish,No,,Gulf killifish,
A803,Fundulus luciae,yes,Fundulus luciae,Species,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,luciae,fish-bony,fish,O,fish,No,,spotfin killifish,
A806,Fundulus sp.,yes,Fundulus sp.,Genus,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,na,fish-bony,fish,O,fish,No,,,
