HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D,A_prct,B_prct,C_prct,D_prct,AD_prct,BD_prct,CD_prct
306010901,10,0,127382400,127403100,134177400,103421700,21501900,123430500,211469400,15.00759202,15.01003079,15.80814678,12.18465564,2.533252182,14.54199785,24.91432473
306010903,10,0,97707600,14871600,81287100,65432700,88385400,268072200,456775200,9.10999562,1.386588258,7.578992063,6.100770159,8.240818594,24.99433583,42.58849947
306011003,10,0,77451300,14697900,1202400,83651400,64494900,12928500,5013000,29.85332991,5.66525362,0.463460831,32.24313655,24.85933131,4.983244642,1.932243137
304020406,10,0,54762300,94509000,19012500,0,175689900,75450600,41046300,11.8926811,20.52443739,4.128928101,0,38.15442289,16.38554123,8.913989297
304020607,10,0,43266600,9612900,11124000,4736700,133253100,287818200,143978400,6.826647127,1.516732911,1.75515577,0.747361231,21.02480649,45.4122415,22.71705497
304020803,10,0,111604500,15237900,0,27744300,94070700,41733000,26097300,35.26345574,4.814689481,0,8.766312245,29.72333522,13.18629444,8.245912874
304020702,10,0,145530900,13707000,10665000,47377800,93743100,210537000,306305100,17.57904269,1.655702934,1.288252119,5.72288338,11.32346434,25.43129268,36.99936185
304020406,10,1,54644400,94446000,18958500,0,175162500,75345300,40693500,11.89861213,20.56526051,4.128141915,0,38.14097414,16.40615508,8.860856239
304020408,10,1,123076800,58437000,47381400,25021800,307292400,117720900,181831500,14.29858992,6.788986221,5.504589074,2.906936623,35.70005082,13.67636203,21.12448531
304020508,10,1,58320900,3486600,62517600,0,47838600,288622800,186125400,9.015277042,0.53896056,9.664005253,0,7.394917299,44.61547237,28.77136748
304020509,10,1,77208300,745200,13734900,0,83311200,354716100,392004900,8.37654057,0.080848795,1.490137033,0,9.038660956,38.48412415,42.5296885
304020604,10,1,4506300,25703100,5102100,0,195288300,195025500,7637400,1.040084918,5.932451605,1.177599641,0,45.07387781,45.01322177,1.762764254
304020605,10,1,85040100,39517200,5215500,2954700,139754700,142340400,59886900,17.91413486,8.324501616,1.098671925,0.622422766,29.44004702,29.98473803,12.61548379
304020606,10,1,22480200,11722500,10127700,1086300,104318100,124355700,17047800,7.721484944,4.02643692,3.47865602,0.37312164,35.83111532,42.71361755,5.855567612
304020607,10,1,43158600,9579600,11040300,4729500,132204600,286250400,142927200,6.851765593,1.520836489,1.752734048,0.750845147,20.98851514,45.44449175,22.69081183
304020608,10,1,60094800,13973400,2781000,117000,67253400,57522600,133396200,17.93133822,4.16944164,0.829806432,0.03491095,20.06735128,17.1638344,39.80331708
304020609,10,1,65983500,4554000,0,0,184010400,140795100,138620700,12.35730069,0.852866965,0,0,34.46121899,26.36791602,25.96069733
304020610,10,1,50903100,94500,0,0,55283400,41838300,49835700,25.71448056,0.047738122,0,0,27.92725619,21.13525801,25.17526711
304020701,10,1,32908500,0,0,45900,27405000,90156600,264092400,7.937248739,0,0,0.011070687,6.609851609,21.74500082,63.69682814
304020702,10,1,144268200,13701600,10656900,45711000,92430900,209725200,297187200,17.73031446,1.683903151,1.309714741,5.617803537,11.35959915,25.77486755,36.52379741
304020801,10,1,112779000,24748200,4579200,5917500,140898600,82557900,0,30.35934063,6.662047311,1.232689531,1.592950799,37.92894591,22.22402582,0
304020802,10,1,68910300,10764900,2984400,3110400,84976200,37071900,0,33.15895006,5.179962669,1.436063558,1.496693503,40.88970114,17.83862907,0
304020803,10,1,110752200,14872500,0,19577700,93254400,41339700,25794000,36.24202978,4.866807051,0,6.4065146,30.51613188,13.52780927,8.440707417
304020804,10,1,16542000,0,0,19590300,37853100,1713600,0,21.85233623,0,0,25.8792058,50.00475568,2.263702295,0
305011202,10,1,25949700,14828400,38417400,0,13492800,76590900,377487900,4.746024404,2.712013945,7.026282306,0,2.46774175,14.00795695,69.03998064
305011203,10,1,72334800,4583700,10351800,20313000,99395100,15363900,97434000,22.6204381,1.433408292,3.237200505,6.352253122,31.0826975,4.80457745,30.46942503
305011204,10,1,42133500,0,583200,52089300,34132500,42597900,129047400,14.01722249,0,0.194022432,17.32937703,11.35540239,14.17172183,42.93225383
305020101,10,1,115200,13442400,20467800,0,2069100,24813000,22588200,0.137971177,16.09951171,24.51359771,0,2.478091686,29.71769804,27.05312968
305020102,10,1,7891200,13797000,38324700,0,7492500,58896000,205892100,2.374768089,4.152052327,11.53338841,0,2.254783798,17.7240903,61.96091708
305020103,10,1,32067900,11379600,57703500,6986700,50321700,113139000,196563600,6.849744319,2.430697066,12.32554116,1.492368026,10.74877927,24.16663463,41.98623553
305020104,10,1,36362700,16930800,9223200,15787800,110934000,1940400,70452000,13.898473,6.471253969,3.525271671,6.034378967,42.40095493,0.741655515,26.92801194
305020105,10,1,1508400,8374500,132245100,0,12074400,151193700,255679200,0.26884092,1.492580408,23.56993794,0,2.152010612,26.9471317,45.56949843
305020106,10,1,33823800,45987300,27507600,3250800,41985000,40364100,79609500,12.41112384,16.87433333,10.09349128,1.192831125,15.40575082,14.81098646,29.21148315
305020107,10,1,36484200,49466700,73890000,54706500,45367200,54245700,344740500,5.537130931,7.507457875,11.21413117,8.302691391,6.885285312,8.232756737,52.32054658
305020201,10,1,39192300,16199100,40173300,783000,90684900,72803700,163317600,9.261949376,3.828181662,9.493779923,0.18503906,21.43071351,17.2050169,38.59531958
305020202,10,1,51695100,52587000,8384400,0,140461200,0,90241200,15.05526563,15.31501543,2.4418053,0,40.9067915,0,26.28112214
305020503,10,1,42268500,65259000,166870800,0,58286700,212079600,193565700,5.724876793,8.838727058,22.60110414,0,7.894393607,28.72421733,26.21668107
305020603,10,1,70880400,21043800,43056000,41024700,160945200,106132500,192773700,11.14723563,3.309521349,6.771341261,6.451882288,25.31156804,16.69127128,30.31718016
305020604,10,1,52016400,72727200,8532900,0,139773600,0,109387800,13.60126703,19.01673448,2.231185769,0,36.54805133,0,28.60276139
305020702,10,1,48162600,102740400,57898800,0,44275500,90920700,5633100,13.77526198,29.38537218,16.55996849,0,12.66349018,26.00475187,1.611155301
305020705,10,1,40927500,75546000,108643500,3709800,89957700,377322300,44157600,5.528767829,10.2052726,14.67631025,0.501145266,12.15210403,50.9712881,5.965111925
305020706,10,1,53350200,64871100,52155000,3628800,83736900,122611500,28485900,13.04918264,15.86713511,12.75684291,0.887585688,20.4816121,29.99013794,6.967503621
305020707,10,1,125011800,21719700,14423400,61274700,73044000,111779100,226639800,19.72129344,3.426401164,2.275370035,9.666418202,11.52308948,17.63376282,35.75366486
305020708,10,1,67998600,17992800,28783800,406800,53319600,180226800,19125900,18.48519917,4.891284403,7.824782801,0.110587262,14.49476056,48.99407184,5.199313968
305020709,10,1,23797800,10243800,40806000,8999100,5918400,122690700,118782000,7.184506116,3.092581825,12.31924617,2.716809495,1.786752599,37.04006608,35.86003771
305020710,10,1,30428100,2617200,5552100,62898300,43666200,34344900,109182600,10.54008218,0.906579874,1.923208819,21.78753359,15.12566793,11.89683445,37.82009315
305020711,10,1,55138500,6770700,7776900,141523200,21735900,37749600,32486400,18.18664878,2.233218946,2.565099683,46.67941152,7.169276987,12.45116782,10.71517627
305020801,10,1,32278500,29832300,24663600,0,20504700,49802400,3821400,20.06085658,18.5405608,15.32825076,0,12.7435242,30.95183493,2.374972732
305020803,10,1,43084800,22038300,14182200,0,71063100,64143900,3844800,19.73134833,10.09277921,6.494957114,0,32.54444211,29.37568781,1.760785429
305020804,10,1,135474300,27950400,37325700,20118600,89475300,182281500,63040500,24.38051399,5.030069306,6.717286976,3.620626264,16.10234416,32.80413082,11.34502848
305020805,10,1,67343400,5685300,225000,59280300,23510700,10872000,2217600,39.8165245,3.361411612,0.133030379,35.04924785,13.90061034,6.428027904,1.311147414
305020806,10,1,155571300,20222100,25047900,160753500,64481400,90420300,182066400,22.27019213,2.894814483,3.585632733,23.01202941,9.23057895,12.94375925,26.06299304
305020901,10,1,1880100,1857600,0,0,10361700,0,74597400,2.119693157,2.094325838,0,0,11.68215764,0,84.10382336
305020902,10,1,73164600,16291800,2286000,0,147087900,0,131508900,19.75610467,4.399156233,0.61727195,0,39.71707559,0,35.51039155
305021001,10,1,27756900,6439500,0,82899000,10512900,1359900,0,21.52228224,4.99309132,0,64.27863613,8.151544334,1.05444598,0
306010901,10,1,127265400,127254600,134050500,102157200,21481200,123342300,209873700,15.05342462,15.05214715,15.85599147,12.08353338,2.540876191,14.58938576,24.82464143
306010902,10,1,136176300,28580400,919800,3107700,78429600,130871700,129820500,26.81131942,5.627104228,0.181096502,0.611865188,15.44175497,25.76691356,25.55994613
306010903,10,1,97508700,14741100,80952300,63704700,88091100,266683500,446729400,9.212746128,1.392757897,7.648476376,6.018901168,8.32295929,25.19659663,42.20756251
306011001,10,1,27347400,2844900,24547500,22500,32954400,128539800,113132700,8.302458004,0.86368952,7.452430134,0.006830825,10.00469961,39.02368384,34.34620807
306011002,10,1,26051400,2459700,21701700,35034300,16742700,22071600,134657100,10.06939975,0.950724436,8.388151601,13.54147461,6.471396518,8.531125528,52.04772755
306011003,10,1,76232700,14493600,1177200,73059300,63330300,12663000,4795200,31.02026317,5.897669717,0.479020864,29.72895769,25.77007731,5.152770301,1.95124095
306020206,10,1,123660000,37372500,7172100,0,54177300,150490800,136856700,24.25993086,7.33183136,1.407040677,0,10.62863943,29.52366491,26.84889277
306020306,10,1,122508000,11699100,24409800,790200,53940600,234943200,77020200,23.32103776,2.227080296,4.646732194,0.150425148,10.26831529,44.7245832,14.66182611
306020401,10,1,35942400,0,2497500,112354200,11238300,14403600,746100,20.28557061,0,1.409566768,63.41171033,6.342796479,8.129263622,0.421092198
306020402,10,1,21363300,1575000,9899100,71282700,24464700,152276400,111055500,5.450979762,0.401871112,2.525817348,18.18822724,6.242321391,38.85427694,28.3365062
306020403,10,1,53138700,0,10826100,110986200,23370300,123725700,62778600,13.80851482,0,2.813248391,28.84064885,6.072958764,32.15110949,16.31351968
306020405,10,1,49984200,0,24408000,150779700,37260000,99899100,119937600,10.3643903,0,5.06108007,31.26467284,7.725985063,20.71441101,24.86946071
304020406,10,2,54252000,93988800,18862200,0,171331200,74223000,39466800,11.99936301,20.78827932,4.171908591,0,37.89473684,16.41651405,8.729198185
304020408,10,2,120953700,58055400,47206800,24795900,299282400,113555700,175003200,14.418937,6.920806515,5.627540746,2.955928756,35.67756977,13.53701858,20.86219864
304020508,10,2,57686400,3471300,62085600,0,46791000,279784800,179815500,9.161885322,0.551319765,9.860576277,0,7.4314531,44.43605863,28.55870691
304020509,10,2,75339900,736200,13606200,0,78260400,344660400,369167400,8.544162001,0.083491112,1.54305457,0,8.875370632,39.08731354,41.86660815
