HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D
30502010705,12,0,12870900,3485700,7081200,28846800,6071400,4662000,35781300
30502010706,12,0,6375600,13265100,23287500,7218900,22338000,10812600,55119600
30502010707,12,0,13048200,14300100,1422000,5422500,7732800,273600,31905900
30501120206,12,0,7775100,4190400,3927600,0,2301300,6296400,89401500
30501120401,12,0,1087200,0,584100,0,1773000,19113300,38889900
30501120402,12,0,14643000,0,0,0,5333400,6834600,59390100
30501120403,12,0,26685000,0,0,60722100,27137700,17011800,32454900
30502020101,12,0,1948500,1255500,6633000,0,1376100,13734900,36805500
30601100306,12,0,0,0,0,2700,8100,0,0
30501120205,12,0,8337600,5920200,9067500,0,4643100,23935500,63031500
30502020102,12,0,6068700,2433600,3362400,0,2749500,12128400,14014800
30502010701,12,0,0,882900,5292900,459900,1267200,4213800,27360900
30502010703,12,0,44100,342000,2064600,2668500,37800,696600,31365000
30502020103,12,0,5014800,2047500,9749700,0,12880800,17532900,24250500
30501120203,12,0,1517400,0,2583900,0,1036800,18990900,46397700
30501120201,12,0,793800,2565000,9333900,0,72000,3231000,46699200
30501120202,12,0,4761000,1862100,5262300,0,5440500,10234800,42198300
30502010602,12,0,3595500,1648800,2474100,27000,3524400,6034500,19140300
30502010603,12,0,5363100,2825100,5760900,13500,8826300,4835700,6651000
30501120303,12,0,35850600,1580400,2363400,22100400,27034200,3863700,49562100
30502010303,12,0,7956000,1975500,2823300,65700,14934600,5886000,16491600
30502010304,12,0,10201500,1614600,22114800,616500,12645900,28996200,15018300
30402040602,12,0,6844500,19737000,6557400,0,33549300,12096000,8156700
30502010301,12,0,442800,378900,5508000,0,2351700,23320800,34806600
30502010101,12,0,128700,13839300,20748600,0,2115900,25564500,23076000
30502010201,12,0,168300,10152000,22718700,0,144000,32392800,84833100
30502010202,12,0,178200,77400,1036800,0,0,1690200,40525200
30502010203,12,0,7555500,3614400,14599800,0,7370100,24850800,80969400
30502010302,12,0,3494700,1337400,3236400,0,13479300,21641400,75150900
30601090105,12,0,9614700,22338900,29735100,0,8433000,44069400,38841300
30601090301,12,0,0,213300,5660100,0,1836000,30741300,1681200
30601090302,12,0,1637100,8533800,33881400,0,3108600,40954500,31852800
30601090303,12,0,16313400,0,9153900,23892300,0,4617900,13990500
30601090304,12,0,18569700,273600,20559600,1763100,0,14318100,30880800
30601090306,12,0,11550600,680400,789300,13690800,873900,36698400,38276100
30601100101,12,0,21724200,0,771300,0,26731800,47079900,600300
30601100102,12,0,3936600,2281500,14597100,0,1889100,69855300,2574900
30601100103,12,0,1670400,567900,9757800,22500,4340700,11993400,110214900
30601100201,12,0,6530400,431100,19422000,3195900,598500,7185600,103690800
30601100202,12,0,19610100,2048400,2648700,33346800,16252200,14950800,32066100
30601100301,12,0,28866600,3428100,218700,24081300,18048600,10440900,4839300
30601100302,12,0,21707100,4065300,0,9692100,18972900,0,0
30601100304,12,0,18937800,5909400,984600,22792500,18441900,2225700,59400
30601100303,12,0,7926300,1305000,0,27081000,9027000,260100,114300
30402040809,12,0,12897000,1890000,0,0,8200800,26188200,41639400
30402040810,12,0,14207400,411300,4500,2195100,34812000,2854800,31733100
30402040807,12,0,23283000,9618300,1453500,0,23596200,14773500,16119900
30402060906,12,0,4130100,2836800,0,0,37578600,42764400,44813700
30402050805,12,0,9333900,24300,6902100,0,5924700,42364800,38676600
30402050806,12,0,21123900,701100,552600,0,12684600,49158900,73677600
30402050902,12,0,1572300,900,1530900,0,1149300,70569900,26980200
30402050903,12,0,12874500,27900,4956300,0,2335500,39595500,49013100
30402050904,12,0,3846600,81000,558000,0,2802600,63943200,79855200
30402050905,12,0,4320900,0,102600,0,1913400,15298200,47664000
30402050906,12,0,27130500,0,0,0,34115400,14532300,24885900
30402050907,12,0,5523300,0,0,0,18914400,65583000,28693800
30402050908,12,0,4132800,0,0,0,5537700,19003500,49656600
30402050910,12,0,7109100,0,0,0,4095000,20375100,11760300
30402060705,12,0,16526700,2700900,2317500,0,19585800,56994300,38806200
30402060706,12,0,8594100,915300,912600,0,26175600,58604400,12105900
30402060802,12,0,31888800,3688200,2198700,0,42105600,27754200,47977200
30402060803,12,0,12026700,943200,0,117000,8110800,15632100,75702600
30402060901,12,0,7470000,36900,0,0,21539700,2309400,2196000
30402060902,12,0,11258100,587700,0,0,17923500,25389900,42467400
30402060903,12,0,11830500,152100,0,0,28863000,1331100,2650500
30402060904,12,0,8346600,130500,0,0,6471000,14458500,20649600
30402050909,12,0,9260100,0,0,0,15383700,26729100,50359500
30502020204,12,0,4777200,455400,0,0,415800,0,19324800
30502020205,12,0,8679600,11947500,130500,0,29595600,0,22073400
30402060905,12,0,15167700,865800,0,0,23918400,35406000,21043800
30502080503,12,0,26220600,3907800,146700,35883900,11392200,5985000,783000
30502080601,12,0,21323700,3091500,6178500,15466500,6021900,27319500,44074800
30502080602,12,0,13018500,1140300,873900,10033200,618300,10859400,22554900
30502080603,12,0,14572800,1445400,709200,13547700,2188800,5797800,2109600
30502080604,12,0,21849300,655200,3135600,21663900,2876400,16036200,32283000
30502080605,12,0,18036000,4334400,1601100,32483700,8910000,6741000,10962000
30502090101,12,0,1896300,1914300,0,0,10402200,0,78607800
30502080606,12,0,29643300,5226300,3928500,30233700,24417000,10859400,32835600
30502080607,12,0,22325400,1728000,8496000,40846500,13322700,10618200,38230200
30502080608,12,0,16107300,2805300,306000,27897300,6708600,2745900,1476900
30502090201,12,0,18421200,6740100,2160000,0,65421900,0,10701900
30502100104,12,0,60300,0,0,0,0,0,0
30502090202,12,0,34665300,4131900,0,0,51188400,0,64557900
30502090203,12,0,17770500,1404900,134100,0,24315300,0,52259400
30502090204,12,0,2372400,4430700,0,0,7239600,0,13886100
30502100102,12,0,22032900,4264200,0,81382500,6117300,1284300,0
30502100101,12,0,5898600,2178900,0,20768400,4498200,76500,0
30502071002,12,0,5560200,1816200,444600,11542500,19509300,10214100,61212600
30502071003,12,0,14530500,480600,630900,50328900,25609500,4739400,12193200
30502071101,12,0,5935500,772200,3935700,51517800,1467900,16215300,26559000
30502071102,12,0,25942500,2961000,2463300,33770700,5430600,12176100,3821400
30502071103,12,0,22952700,3077100,1418400,50800500,14904000,8965800,1121400
30502071104,12,0,365400,0,0,20040300,0,560700,1358100
